City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,66,0,6.0,RU,1703026972
277,las tablas,7.7667,-80.2833,25.1,99,93,8.92,PA,1703026972
278,qarqaraly,49.4058,75.4742,-10.2,91,99,3.44,KZ,1703026972
279,tobol'sk,58.2,68.2667,-14.08,96,62,3.58,RU,1703026972
280,qamdo,31.1667,97.2333,-13.47,37,0,0.85,CN,1703026972
281,birao,10.2849,22.7882,22.85,27,100,1.96,CF,1703026973
282,namibe,-15.1961,12.1522,23.56,71,53,1.74,AO,1703026973
283,riosucio,5.4216,-75.7032,18.34,96,89,1.07,CO,1703026973
284,ust-nera,64.5667,143.2,-37.89,100,99,1.79,RU,1703026973
285,el granada,37.5027,-122.4694,18.78,83,75,5.66,US,1703026973
286,cooma,-36.2333,149.1333,8.73,96,100,2.97,AU,1703026973
287,colonia,50.9333,6.95,8.36,92,75,4.63,DE,1703026906
288,khategaon,22.6,76.9167,13.3,39,100,2.69,IN,1703026974
289,childress,34.4264,-100.204,16.14,51,0,6.17,US,1703026729
290,lautoka,-17.6167,177.4667,28.92,74,75,3.6,FJ,1703026974
291,cho dok,10.7,105.1167,24.74,68,67,2.6,VN,1703026974
292,mount gambier,-37.8333,140.7667,15.44,48,2,5.59,AU,1703026974
293,nikolayevsk-on-amure,53.1406,140.73,-27.58,97,76,1.87,RU,1703026974
294,boditi,6.9667,37.8667,16.68,54,72,2.63,ET,1703026974
295,tynda,55.1667,124.7167,-32.33,95,87,1.93,RU,1703026975
296,moultonborough,43.7548,-71.3967,4.0,77,44,6.71,US,1703026975
297,bardai,11.65,7.2333,20.41,28,4,3.56,NG,1703026975
298,barreiras,-12.1528,-44.99,24.46,66,89,1.14,BR,1703026975
299,siem reap,13.5,104.0,21.83,82,48,1.78,KH,1703026975
300,kamina,-8.7386,24.9906,19.33,96,100,1.64,CD,1703026975
301,ozumba de alzate,19.05,-98.8,19.24,44,0,1.84,MX,1703026975
302,kichmengskiy gorodok,59.9816,45.7854,0.73,97,100,5.37,RU,1703026975
303,phalodi,27.1333,72.3667,15.09,27,43,2.12,IN,1703026976
304,karratha,-20.7377,116.8463,24.46,67,2,5.56,AU,1703026953
305,boende,-0.2167,20.8667,22.97,95,100,0.75,CD,1703026976
306,kirensk,57.7853,108.1119,-38.91,100,46,1.34,RU,1703026976
307,horazdovice,49.3207,13.701,6.24,64,100,3.09,CZ,1703026976
308,kirakira,-10.4544,161.9205,28.68,72,96,2.0,SB,1703026976
309,kuala terengganu,5.3302,103.1408,25.97,94,20,1.03,MY,1703026976
310,pisco,-13.7,-76.2167,23.03,78,0,8.75,PE,1703026976
311,mukalla,14.5425,49.1242,22.32,61,0,2.77,YE,1703026760
312,jinchang,38.4953,102.1739,-13.19,80,1,0.63,CN,1703026976
313,ossining,41.1629,-73.8615,2.52,71,20,6.69,US,1703026976
314,jilib,0.4883,42.7854,27.34,76,100,3.69,SO,1703026977
315,uji,34.8833,135.8,5.2,88,87,1.29,JP,1703026977
316,brisas de zicatela,15.8369,-97.0419,28.29,65,0,2.06,MX,1703026977
317,itoman,26.1247,127.6694,19.21,88,75,13.38,JP,1703026977
318,ubari,26.5921,12.7805,7.95,52,1,4.27,LY,1703026977
319,esqueda,30.7167,-109.5833,21.24,23,100,4.54,MX,1703026977
320,patong,7.8961,98.2966,25.08,80,65,4.22,TH,1703026977
321,belmonte,-15.8631,-38.8828,20.89,92,95,4.64,BR,1703026978
322,dudhani,17.3667,76.3667,17.49,53,89,3.48,IN,1703026978
323,warmbad,-28.45,18.7333,24.28,33,0,4.44,NA,1703026978
324,isangel,-19.55,169.2667,28.06,83,75,2.06,VU,1703026978
325,tera,14.0078,0.7531,20.43,17,2,4.68,NE,1703026978
326,conduaga,8.862,117.4893,26.22,88,99,2.06,PH,1703026978
327,severo-yeniseyskiy,60.3725,93.0408,-31.34,95,12,2.23,RU,1703026978
328,yuzhno-kurilsk,44.0306,145.8556,-2.57,76,91,2.22,RU,1703026979
329,yarmouth,41.7057,-70.2286,7.2,81,0,7.6,US,1703026979
330,curuca,-0.7289,-47.8481,25.75,86,67,2.5,BR,1703026979
331,al jumum,21.6169,39.6981,23.97,57,1,1.72,SA,1703026979
332,sant'antioco,39.0664,8.4522,9.93,71,1,2.52,IT,1703026979
